ID #,Type,IP Address,Username,Password,URL,First submit,Creation time,Sample MD5,Sample SHA-128,Sample SHA-256,Comment,Hybrid Analysis,VTI,Any Run,Unit42,ANSSI,Talos,McAfee,ForcePoint,NioGuard,CarbonBlack,Kaspersky
31,Hash,,,,,08/01/2019 11:25,05/01/2019 11:33,174e3d9c7b0380dd7576187c715c4681,31fbfe814628db3b459ddc87bf5ed538700db17a,c7a69dcfb6a3fe433a52a71d85a7e90df25b1db1bc843a541eb08ea2fd1052a4,,Yes,Yes,Yes,YES,No,No,Yes,Yes,No,No,Yes
32,Hash,,,,,,,06457b317d5624590803a77d3770bff2,,,,No,No,No,No,Yes,No,No,No,No,No,No
33,Hash,,,,,,,,2a030cc6d84d5785f5e84d0f5888a411d4b06d01,,,No,No,No,No,Yes,No,No,No,No,No,No
34,Hash,,,,,,,,2abae839362edfe52d9ebe282fb61113d22b331f,,,No,No,No,No,Yes,No,No,No,No,No,No
35,Hash,,,,,,,,6995a32e0a4d4f6d0c9b2a00a96d69bff4b83ea7,,,No,No,No,No,Yes,No,No,No,No,No,No
36,Hash,,,,,,,,87b1f17fbb4a1e8eef4cb31c1c0194b1426c868c,,,No,No,No,No,Yes,No,No,No,No,No,No
37,Hash,,,,,,,,afc36916a4df934446681ea28bef6add4decb98a,,,No,No,No,No,Yes,No,No,No,No,No,No
38,Hash,,,,,,,,f832d94391a8d2d5cf92773e6c912905ec7c40c7,,,No,No,No,No,Yes,No,No,No,No,No,No
39,Hash,,,,,,,,056823c7891a04b2fec8903eb401ae3291743a54,,,No,No,No,No,Yes,No,No,No,No,No,No
40,Hash,,,,,,,,b7afa7acf1b7ded2c4e3d0884b5cdaa230d9f82e,,,No,No,No,No,Yes,No,No,No,No,No,No
41,Hash,,,,,,,,4b50b6b9157026ab408d966ece02d1cef8045f82,,,No,No,No,No,Yes,No,No,No,No,No,No
42,Hash,,,,,02/02/2019 01:40,,db5e1b10130de2b984330cd891ef36bf,6042dfd50d33da40e383baec4a7ef7c75bf17481,e7ea56e4d23d7f096a11d535c87461bd2ff0cd2547c5ce9e7e63a405896d0672,8_32.exe,No,Yes,No,No,Yes,No,No,No,No,No,No
43,Hash,,,,,,,,9b50fae63f4d8d402f30c487ca7216f610413642,,,No,No,No,No,Yes,No,No,No,No,No,No
44,Hash,,,,,,,,781778f789185889259d2a8dec981e80098fa490,,,No,No,No,No,Yes,No,No,No,No,No,No
45,Hash,,,,,,,,153d37f0f0660734a1e05cb67721c4ceff54919f,,,No,No,No,No,Yes,No,No,No,No,No,No
46,Hash,,,,,,,,2d038fcd5987b2e7008b2e269b0a9ff968063ee8,,,No,No,No,No,Yes,No,No,No,No,No,No
47,Hash,,,,,,,,9d2148cd22c245fc3ba7861a560d223f72f34414,,,No,No,No,No,Yes,No,No,No,No,No,No
48,Hash,,,,,,,,c8207144f89c9d775ff5565888dbbc8167e09330,,,No,No,No,No,Yes,No,No,No,No,No,No
49,Hash,,,,,,,,5131a7a011041e88b32a2a98e5170c42d5c57250,,,No,No,No,No,Yes,No,No,No,No,No,No
50,Hash,,,,,,,,e925c3ba15f007363ad32b84df7da9b299b9b100,,,No,No,No,No,Yes,No,No,No,No,No,No
51,Hash,,,,,,,,481b18bcbd9d32c5363bb56ab212d57d78497c05,,,No,No,No,No,Yes,No,No,No,No,No,No
52,Hash,,,,,,,,2bcfd0679726f0110545b47b4512a8a4ddcb830f,,,No,No,No,No,Yes,No,No,No,No,No,No
53,Hash,,,,,30/01/2019 01:41,29/01/2019 20:10,b83a2e832a288bca3d3a2546141e74b3,eaefb5e9ea2e0d301ee594e6358ea136442cd075,29663ff55c3bc588413c6281316da2589242b28aead2045dfc2895ac08693dad,test.exe,Yes,Yes,No,No,Yes,No,No,No,No,No,No
54,Hash,,,,,,,,237b19af7c867b21f46793dd7257dff2f3be1513,,,No,No,No,No,Yes,No,No,No,No,No,No
55,Hash,,,,,25/01/2019 18:55,09/01/2019 07:05,9d212b348c3ac16d0a1872a61f0b719c,f5619064f2d8aebfdba0fc3f566cb60f599f9f6e,229bd30b5410ba29b6451a0e733481e82ae5bb38fb03ef2453daf6886b0eec54,encryptor.exe,No,Yes,No,No,Yes,No,No,No,No,No,No
56,Hash,,,,,,,,399d4d5ab0bdbe0b1a61bac007d56adff005486d,,,No,No,No,No,Yes,No,No,No,No,No,No
57,Hash,,,,,17/01/2019 21:32,22/05/2018 13:24,644087ccca16d2a728ef7685a4106f09,eabd6974ac71efd72d9e0688d5a6131f336d169c,385e31c97e3a07bbb81513f0cd0979e64e6b014943902efd002f57b21eadd41e,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
58,Hash,,,,,24/01/2019 13:52,,34187a34d0a3c5d63016c26346371b54,ce8209ff9828aa8cb095bd7d1589fc4d394c298c,5f815b8a8e77731c9ca2b3a07a27f880ef24d54e458d77bdabbbaf2269fe96c3,,No,Yes,No,No,Yes,No,No,No,No,No,No
59,Hash,,,,,07/01/2019 18:30,11/01/2018 08:12,871aa15f4d61c85e1284e1be3f99f705,236eac0b19f91117b27f1b198a4d8490d99ec2e5,b434bccf0a5ff75b27184e661df751466aef69f35fbd7b8b8692302b8b886262,,No,Yes,No,No,Yes,No,No,No,No,No,No
60,Hash,,,,,21/02/2019 15:29,,7b792de1468a70cfe990b65034d5f3ac,320f1fc66054e98681fd291415ff17b2e1a71b61,a89eac79ff230f3c270b465cd2d8c1225b8937bd4b069ac27872ac883082d82b,,Yes,Yes,No,No,Yes,No,No,No,No,No,No
61,Hash,,,,,14/01/2019 08:21,05/01/2019 11:33,a52f26575556d3c4eccd3b51265cb4e6,61fdebb3c9dfa880b54e82579256acfcd4d6d406,97a2ab7a94148d605f3c0a1146a70ba5c436a438b23298a1f02f71866f420c43,,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
62,Hash,,,,,08/01/2019 11:23,11/05/2018 13:15,ba53d8910ec3e46864c3c86ebd628796,d1c2dfedc602f5d5f2036b0ba5541cac8f8b4b95,a84171501074bac584348f2942964c8550374c39247ec6af0f4a69756ea9fc7a,,No,yes,No,No,Yes,No,No,No,No,No,Yes
63,IP,62.210.136.65,,,,,,,,,C2,,,,No,Yes,No,No,No,No,No,No
64,IP,185.202.174.91,,,,,,,,,C2,,,,No,Yes,No,No,No,No,No,No
65,IP,93.115.26.171,,,,,,,,,C2,,,,No,Yes,No,No,No,No,No,No
66,IP,185.202.174.86,,,,,,,,,C2,,,,No,Yes,No,No,No,No,No,No
67,IP,185.238.0.217,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
68,IP,185.70.105.158,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
69,IP,185.70.105.43,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
70,IP,185.70.184.134,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
71,IP,185.70.184.250,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
72,IP,185.70.187.21,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
73,IP,185.70.187.22,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
74,IP,185.70.187.23,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
75,IP,185.70.187.38,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
76,IP,185.70.187.46,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
77,IP,185.70.187.51,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
78,IP,185.70.187.53,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
79,IP,185.70.187.56,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
80,IP,185.70.187.65,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
81,IP,185.70.187.77,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
82,IP,185.70.187.79,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
83,IP,185.70.187.86,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
84,IP,185.70.187.88,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
85,IP,185.70.187.92,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
86,IP,31.192.108.122,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
87,IP,31.192.108.123,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
88,IP,31.207.44.118,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
89,IP,31.207.44.186,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
90,IP,31.207.44.77,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
91,IP,31.207.44.80,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
92,IP,31.207.44.83,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
93,IP,31.207.44.84,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
94,IP,31.207.45.251,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
95,IP,31.207.45.45,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
96,IP,5.39.219.168,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
97,IP,5.39.219.172,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
98,IP,5.39.219.183,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
99,IP,5.39.219.184,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
100,IP,5.39.219.185,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
101,IP,5.39.219.187,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
102,IP,5.39.219.188,,,,,,,,,Administration Server,,,,No,Yes,No,No,No,No,No,No
103,URL,,,,https://pastebin.com/raw/wdcq0Tda,,,,,,Payload URL,,,,No,Yes,No,No,No,No,No,No
104,URL,,,,https://pastebin.com/raw/9ditgTZh,,,,,,Payload URL,,,,No,Yes,No,No,No,No,No,No
105,URL,,,,https://pastebin.com/Mzd1HFrN,,,,,,Payload URL,,,,No,Yes,No,No,No,No,No,No
106,Account,,terminal,,,,,,,,Account Name,,,,No,Yes,No,No,No,No,No,No
107,IP,176.126.85.207,,,,,,,,,C2,,,,,,,,,No,No,No
108,Account,,,HuHuHUHoHo283283@dJD,,,,,,,Password Value,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
